Id,repo,issue_id,type,actor,event,created_at,link_url,link_type,link_repo,link_issue_id
6768,request/request,311,0,,cross-referenced,2014-04-16 00:04:18,https://api.github.com/repos/request/request/issues/870,0,request/request,870
6771,request/request,311,0,,cross-referenced,2014-07-07 11:07:33,https://api.github.com/repos/request/request/issues/957,1,request/request,957
6778,request/request,311,0,,cross-referenced,2016-01-22 00:52:09,https://api.github.com/repos/request/request/issues/2028,1,request/request,2028
6761,request/request,315,0,,cross-referenced,2014-06-24 07:23:11,https://api.github.com/repos/request/request/issues/72,0,request/request,72
6756,request/request,316,0,,cross-referenced,2013-02-10 04:21:37,https://api.github.com/repos/request/request/issues/431,1,request/request,431
6755,request/request,318,1,,cross-referenced,2012-09-04 14:51:13,https://api.github.com/repos/request/request/issues/300,1,request/request,300
6753,request/request,319,1,,cross-referenced,2013-03-12 13:47:06,https://api.github.com/repos/request/request/issues/471,1,request/request,471
6754,request/request,319,1,,cross-referenced,2013-03-20 19:23:13,https://api.github.com/repos/request/request/issues/487,0,request/request,487
6752,request/request,325,0,,cross-referenced,2012-09-17 17:51:47,https://api.github.com/repos/request/request/issues/326,1,request/request,326
6751,request/request,330,0,,cross-referenced,2013-02-25 20:11:05,https://api.github.com/repos/request/request/issues/444,1,request/request,444
6749,request/request,338,1,,cross-referenced,2013-04-03 07:39:27,https://api.github.com/repos/request/request/issues/503,1,request/request,503
6745,request/request,345,0,,cross-referenced,2014-02-12 18:39:55,https://api.github.com/repos/request/request/issues/810,1,request/request,810
6746,request/request,345,0,,cross-referenced,2014-06-06 01:22:41,https://api.github.com/repos/request/request/issues/924,0,request/request,924
6747,request/request,345,0,,cross-referenced,2014-07-02 15:34:31,https://api.github.com/repos/request/request/issues/953,1,request/request,953
6748,request/request,345,0,,cross-referenced,2014-07-02 21:33:14,https://api.github.com/repos/request/request/issues/955,1,request/request,955
6740,request/request,346,0,,cross-referenced,2012-11-12 02:35:36,https://api.github.com/repos/request/request/issues/311,0,request/request,311
6741,request/request,346,0,,cross-referenced,2014-10-24 16:43:55,https://api.github.com/repos/request/request/issues/1211,1,request/request,1211
6738,request/request,349,0,,cross-referenced,2012-11-28 23:50:57,https://api.github.com/repos/request/request/issues/380,1,request/request,380
6735,request/request,367,0,,cross-referenced,2012-11-18 20:00:57,https://api.github.com/repos/request/request/issues/374,1,request/request,374
6734,request/request,371,1,,cross-referenced,2013-03-04 02:12:10,https://api.github.com/repos/request/request/issues/461,1,request/request,461
